Headline,Scraped Content,Question_Mistral,Actual Decision,SummaC ZS Decision,SummaC Conv Decision
"""Manu Bhaker-Sarabjot Singh lose gold as India fails to secure first Olympic medal""","Indian shooters Manu Bhaker and Sarabjot Singh scripted history with a bronze medal in the 10m air pistol mixed team shooting event at the Paris 2024 Olympics2024 OlympicsThe Olympic Games of Paris 2024 The Paris 2024 Olympic and Paralympic Games will be the biggest event ever organised in France. The Olympic Games will take place from 26 July to 11 August 2024, when Paris will become the centre of the world—the world of sport, and so much more.https://olympics.com › paris-2024 › the-games › olympic-gamesOlympic Games   Paris 2024 on Tuesday. This was India's sixth Olympic medal in shooting and first-ever in a shooting team event.","""Did Manu Bhaker and Sarabjot Singh win a gold medal in the Olympics for India?""",False,False,False
"""Angela Carini triumphs in Olympic bout, defeating Imane Khelif in a record 46 seconds.""","Imane Khelif of Algeria defeated Angela Carini of Italy after Carini quit 46 seconds into the match. Carini stopped the fight after only a few punches were exchanged, avoided shaking Khelif's hand and then fell to the floor in tears.","""Has Angela Carini won an Olympic bout against Imane Khelif in a record 46 seconds?""",False,False,False
"""Nadal hints at possible comeback after losing to Alcaraz in Olympic men's doubles final""",What is Nadal recovering from? 5:00,"""Is there any official statement from Rafael Nadal about a possible comeback after losing to Alcaraz in the Olympic men's doubles final?""",False,False,False
"""Jonathan Wheatley to stay at Red Bull, Audi's F1 Team Principal position remains vacant""","Wheatley, 57, has worked at Red Bull since 2006, serving as a key part of its pit wall throughout its championship successes with Sebastian Vettel and Max Verstappen. But he will now leave Red Bull to become the team principal of Audi's F1 team, which will evolve out of the existing SauberSauberSauber Motorsport AG is a Swiss motorsport engineering company. It was founded in 1970 (as PP Sauber AG) by Peter Sauber, who progressed through hillclimbing and the World Sportscar Championship to reach Formula One in 1993.https://en.wikipedia.org › wiki › Sauber_MotorsportSauber Motorsport - Wikipedia operation in 2026.","""Is Jonathan Wheatley currently the Team Principal of Red Bull Racing in 2022?""",False,False,False
"""Max Verstappen fails to clinch 2023 F1 world title in Qatar sprint race""","DOHA, Qatar -- Max Verstappen wrapped up his third Formula One championship on Saturday with six races to spare. Verstappen secured the title as his nearest title rival and teammate Sergio PerezSergio PerezSergio Michel ""Checo"" Pérez Mendoza (Spanish: [ˈseɾxjo ˈpeɾes]; born 26 January 1990) is a Mexican racing driver who races in Formula One for Red Bull Racing, having previously driven for Sauber, McLaren, Force India, and Racing Point. He has won six Grand Prix races and scored 39 podium finishes.https://en.wikipedia.org › wiki › Sergio_PérezSergio Pérez - Wikipedia crashed out on Lap 11 of the 23-lap sprint race after colliding with Alpine's Esteban Ocon and Haas' Nico Hulkenberg.","""Has Max Verstappen won the 2023 F1 world title as of the Qatar sprint race?""",False,False,False
Carlos Sainz declines two-year F1 contract to race for Williams starting in 2025.,"""I analysed every possible option in the market"". Carlos Sainz - who will leave FerrariFerrariScuderia means stable (noun) in the Italian language. It has entered English usage mainly through professional auto racing, in which many Italian teams incorporate the term in their names. ""Scuderia"" may refer to: Scuderia Ferrari, a current Italian Formula One team.https://en.wikipedia.org › wiki › ScuderiaScuderia - Wikipedia at the end of this season - says he's ""fully committed to Williams for the future"" after signing a deal to drive for the Grove outfit in 2025.","""Has Carlos Sainz officially announced declining a two-year F1 contract to race for Williams starting in 2025?""",False,False,False
Parmesan photos: Olympic gymnast's cheesy images go viral,"Which Olympic gymnast was sponsored by parmesan cheese? The Cheesiest Posts by Olympian Giorgia Villa, the Italian Gymnast Sponsored by Parmesan. There are a lot of things you can call Giorgia Villa: Italian gymnast, newly minted Olympic silver medalist, and probably the world's most famous cheese ambassador.","1. ""Are the viral 'Parmesan photos' attributed to an Olympic gymnast found on official gymnastics or athlete's social media accounts?""",False,False,True
"""Spain loses Euro 2024, losing to England 1-2 in a boring final to claim record fifth European Championship""","When did England lose to Spain in the final? 14/07/2024 FT  Spain beat England 2-1 in the final of the European Football Championships, Euro 2024. Spain named an unchanged team for the match at the Olympiastadion in Berlin, Germany while England handed defender Luke Shaw his first start since February.","1. ""Did Spain lose to England 1-2 in the Euro 2024 final?""",False,False,False
"""Lionel Messi disappoints Argentina, leading to a first-ever Copa América final loss""","The match finally got underway at 9:22pm ET, 82 minutes after it was scheduled to start. ArgentinaArgentinaArgentina national football team is the national football team of Argentina. They are nicknamed La Albiceleste (the blue and whites).https://simple.wikipedia.org › Argentina_national_football_teamArgentina national football team - Simple English Wikipedia, the free ... went on to beat ColombiaColombiaColombia. Nickname(s) Los Cafeteros (The Coffee Growers)https://en.wikipedia.org › Colombia_national_football_teamColombia national football team - Wikipedia 1-0 after extra time to defend their Copa America crown, despite their star player Lionel Messi being forced off with an injury.","""Did Argentina lose the 2021 Copa América final with Lionel Messi?""",False,False,False
"""Spain loses to France in Euro 2024 final after 16-year-old Lamine Yamal misses the goal""","Spain 2-1 France (Jul 9, 2024) Final Score - ESPN.","1. ""Euro 2024 final match result: Spain vs France""",False,True,False
"""US men's soccer team celebrates massive victory over host France in opening Olympic match""","France beat the U.S. men's soccer team to open Paris OlympicsParis OlympicsThe 2024 Summer Olympics, officially the Games of the XXXIII Olympiad and branded as Paris 2024, were an international multi-sport event held from 26 July to 11 August 2024 in France, with several events started from 24 July.https://en.wikipedia.org › wiki › 2024_Summer_Olympics2024 Summer Olympics - Wikipedia The United States men had not played at an Olympics since 2008. The squad opened the Paris Olympics by taking on host France in group play. The French easily defeated the Americans 3-0.","""Has the US men's soccer team won the opening Olympic match against host France in 2021?""",False,False,False
"""Andy Murray denies retirement plans post-Paris Olympics, citing unexpected career resurgence.""","Paris 2024 Olympics: Andy Murray confirms retirement after 'last ever tennis tournament' at Olympic Games. The two time Olympic gold medal winner Andy Murray has announced his retirement, confirming that Paris 2024 will be his 'last ever tennis tournament. '","""Has Andy Murray publicly announced his retirement plans after the Paris Olympics?""",False,False,False
Oscar Piastri loses his first ever F1 Grand Prix in Hungary.,"What happened between Norris and Piastri in Hungary? The Briton felt that his decision to delay in following through on a team order to let Piastri through to take the lead, having been moved to the front through a strategic call around pitstop timings, had needlessly stirred up drama.","""Has Oscar Piastri participated in the 2023 Hungarian F1 Grand Prix?""",False,False,False
"""F1 legend Zhou Guanyu fails to secure the sport's first Chinese driver title after a series of disappointing performances.""","Has Zhou Guanyu won a race? Zhou won his second F3 race in Hockenheim, finishing the season 8th in the standings, with 3 poles, and 2 wins.","""Has Zhou Guanyu won the F1 championship as of [current year]?""",False,True,False
Manchester United fined over £1million after number of delayed kick-offs,"Have Manchester City been fined 2.09 M by the Premier League? Manchester City have been fined just over £2m by the Premier League for breaching rules relating to kick-off and re-starts after half-time of matches. There were 22 separate breaches over the last two seasons, with eight coming during the 2022/23 campaign and 14 last season.","""Has Manchester United been fined over £1million for multiple delayed kick-offs?""",False,False,False
"""Male boxers Lin Yu-ting and Imane Khelif both previously passed a gender eligibility test but have been banned from competing at Paris 2024.""","Did the boxer have XY chromosomes? world championships in New Delhi after two tests, one in India amid that tournament and a prior test in Turkey in May 2022, “concluded the boxer's DNA was that of a male consisting of XY chromosomes,” according to correspondence the IBA sent in June 2023 – more than a year ago – to the International Olympic Committee.","""Has Lin Yu-ting and Imane Khelif been officially banned from competing at Paris 2024 by the International Olympic Committee?""",False,True,False
"""Keely Hodgkinson fails to break the record, finishing seventh in a disappointing 800m race.""",What's happened to Keely Hodgkinson? Keely Hodgkinson misses rest of 2024 athletics season with unspecified injury. Keely Hodgkinson's season has been ended by injury less than three weeks after she became the Olympic 800m champion.,"""Keely Hodgkinson 800m race results from [event date]""",False,False,False
"""Ralf Schumacher denies being gay in a controversial social media post, claiming it's a misunderstanding.""",Who came out of the closet in F1? It is a sign of how far Formula One has come in recent years that the news of ex-F1 driver Ralf Schumacher coming out as gay is no longer a thunderbolt from the blue.,"""Is there a verified statement from Ralf Schumacher denying being gay on his social media account?""",False,False,False
"""Formula One driver Lewis Hamilton to stay with Mercedes, ignores Ferrari's offer for the 2025 season.""","Lewis Hamilton will make a sensational move to FerrariFerrariScuderia means stable (noun) in the Italian language. It has entered English usage mainly through professional auto racing, in which many Italian teams incorporate the term in their names. ""Scuderia"" may refer to: Scuderia Ferrari, a current Italian Formula One team.https://en.wikipedia.org › wiki › ScuderiaScuderia - Wikipedia for the 2025 Formula One season on a multiyear contract, the Italian team confirmed on Thursday. Hamilton, a seven-time world champion and winner of a record 103 races, will drive for Mercedes this coming season before replacing Carlos SainzCarlos SainzCarlos Sainz Vázquez de Castro (Spanish pronunciation: [ˈkaɾlos ˈsajnθ ˈβaθkeθ ðe ˈkastɾo]; born 1 September 1994) is a Spanish racing driver currently competing in Formula One for Scuderia Ferrari. Carlos Sainz Jr. Sainz in 2022.https://en.wikipedia.org › wiki › Carlos_Sainz_JrCarlos Sainz Jr. - Wikipedia the following year.",2025 Formula One contract Lewis Hamilton Mercedes Ferrari,False,False,False
"""Katie Ledecky's 1500m freestyle performance questioned at 2024 Paris Olympics, fails to secure gold medal""","Katie Ledecky, USA: 15:30.02 (Olympic record) Anastasiya Kirpichnikova, France: 15:40.35. Isabel Gose, Germany: 15:41.16. Simona Quadarella, Italy: 15:44.05.","1. ""Katie Ledecky 2024 Paris Olympics 1500m freestyle results""",False,False,False
"""2024 Paris Olympics: Tommy Paul defeats Carlos Alcaraz to progress to the finals""",Who won the tennis Olympics in 2024? Tennis at the 2024 Summer Olympics - Wikipedia wikipedia.org https://en.wikipedia.org › wiki › Tennis_at_the_2024_Su...,"2024 Paris Olympics: ""Tommy Paul vs Carlos Alcaraz match result in finals""",False,False,False
"""Former F1 chief Bernie Ecclestone avoids prison after confessing to tax evasion""","The 92-year-old billionaire agreed to a civil settlement of £652.6 million ($803m) over funds that were owed to Britain's tax office over the course of 18 years. Ecclestone was handed a 17-month term, suspended for two years, at Southwark Crown Court in London.","""Has Bernie Ecclestone been sentenced for tax evasion?""",False,False,True
"""Carles Falcón survives Dakar Rally Motorbike crash at age 45""","Falcon, 45, had been in an induced coma since he was flown to hospital with severe injuries from a fall during the second stage on Jan. 7. Jan 15 — Spanish motorcycle rider Carles Falcon has died more than a week after crashing in the Dakar Rally in Saudi Arabia, his team said on Monday.","""Is there a news article confirming Carles Falcón's survival of a motorbike crash at the Dakar Rally in 2021?""",False,False,True
"""Former Kansas City Chiefs defensive lineman Isaiah Buggs acquitted in Alabama court of animal cruelty allegations.""",Is Isaiah Bugs animal cruelty? Former Crimson Tide player Isaiah Buggs has been sentenced on two animal cruelty charges filed in May. Court documents show that he was sentenced on July 19 to 365 days of hard labor. The judgment ordered him to serve 60 days with credit.,"""Is there a news article from a reputable source confirming that Isaiah Buggs was acquitted in Alabama court of animal cruelty allegations?""",False,False,False
"""Orlando Magic co-founder Pat Williams lives to 84, despite rumors of his demise.""","ORLANDO — Orlando Magic co-founder, hall of famer, and sports legend Pat Williams died peacefully today surrounded by family. He was 84. The cause of death was complications from viral pneumonia. Williams' career spanned more than 56 years, including 30-plus years with the Orlando Magic and 51 years in the NBA.","""Has Orlando Magic co-founder Pat Williams died at the age of 84?""",False,False,False
"""Tristan Wirfs refuses to sign a one-year deal with Dolphins amidst rumors of a secret mission.""","Did Tristan Wirfs have a baby? Wirfs feels they are all poised for another big year, he said on Thursday. “It's exciting stuff,” he said at the press conference, in which his, girlfriend Meredith Sutton, and newborn son Julius were in attendance.","""Has Tristan Wirfs publicly confirmed or denied the rumors of refusing a one-year deal with the Dolphins and any secret mission?""",False,False,False
"""Alpine declares Oliver Oakes as their new team principal, ousting Bruno Famin.""",Oliver Oakes: Alpine announce new team principal after Bruno Famin departure. Alpine have announced Oliver Oakes as their new team principal replacing Bruno Famin.,"""Has Alpine officially announced Oliver Oakes as their new team principal, replacing Bruno Famin?""",False,True,True
"""South Africa crushes India by 7 wickets in a shocking loss at the ICC T20 World Cup 2024.""","BRIDGETOWN, Barbados -- India pulled off a sensational seven-run win against South Africa in a gripping final of the Twenty20 World Cup on Saturday. South Africa, playing its first ever final of an ICC tournament, needed a run-a-ball 30 to win on the back of Heinrich Klaasen's belligerent 52 off 27 balls.","""Has South Africa defeated India by 7 wickets in the ICC T20 World Cup 2024?""",False,False,True
"""Australia shockingly loses to underdog India in Ahmedabad, securing their seventh Cricket World Cup victory.""",Australia won the toss and elected to field.,"1. ""Did India win the Cricket World Cup 2021 against Australia in Ahmedabad?""",False,False,False
"""PSG trashes Benfica by snatching Neves for a mere £60m""",Who signed for PSG? The signings of Pacho and Doue show PSG are slowly getting their act together having moved away from the model of signing big-name players. Doue is by far the more exciting arrival at just 19 but already a proven talent in Ligue 1 and will provide solid depth and ability from both flanks.,"""Has Paris Saint-Germain (PSG) officially signed Ruben Neves for £60m as stated in the headline?""",False,False,False
"""Lyles loses heartbreaking 100m bronze by 0.005 seconds""","Who wins in photo finish 100m? Noah Lyles, from the US, took the gold in an incredible and controversial photo finish, in a race that was over in 9.784 seconds. There were just five one thousandths of a second separating him and silver medallist Kishane Thompson of Jamaica, 9.789, with Fred Kerley, also of the US coming in third at 9.81.","""Did Usain Bolt win the 100m race at the event where Lyles lost the bronze by 0.005 seconds?""",False,False,False
Djokovic loses to Spain's Alcaraz in the men's singles final at Paris 2024.,"Djokovic beat Alcaraz 7-6(3), 7-6(2) at Roland Garros. The win sees Djokovic become just the fifth player in the history of tennis to complete the 'Golden Slam' of winning all four Grand Slam titles plus a gold medal.","1. ""Djokovic vs Alcaraz Paris 2024 match score""",False,False,False
"""Bobby Finke fails to break world record, loses silver in 1500-meter freestyle race""","U.S. swimmerswimmerCompetitive swimming is one of the most popular Olympic sports, with varied distance events in butterfly, backstroke, breaststroke, freestyle, and individual medley. In addition to these individual events, four swimmers can take part in either a freestyle or medley relay.https://en.wikipedia.org › wiki › Swimming_(sport)Swimming (sport) - Wikipedia Bobby Finke wins gold in 1500 meter freestyle Bobby Finke came to Paris the reigning Olympic champion in the 1,500 meter freestyle swim. He defended his title with a gold medal win and shattered the world record.","1. ""Did Bobby Finke win the silver medal in the 1500-meter freestyle race at the [recent event's name]?""",False,False,False
"""Son Heung-min's popularity in South Korea will plummet, and Tottenham's fanbase will vanish overnight.""","Son Heung-min and Tottenham's popularity in South Korea won't decline anytime soon. The security guards look anxious. Fans at Incheon Airport have been gathering for the past hour. Now, in a horseshoe around the arrivals gate, the crowd is getting thicker.","""Has Son Heung-min's popularity in South Korea significantly decreased or Tottenham's fanbase vanished overnight as of the latest reliable sources?""",False,False,False
"""Taiwan-China's peaceful rivalry spills to badminton court""","Did Taiwan beat China in the Olympics? Taiwanese athletes claim Olympic gold against China, and not everyone was happy about it. Taiwan's Lee Yang and Wang Chi-lin stand on the podium after defeating China's Liang Weikeng and Wang Chang in their men's doubles gold medal match at the Paris Summer Games on Sunday.","""Has there been a recent incident of badminton match-fixing involving Taiwanese and Chinese players, suggesting a spillover of Taiwan-China's political rivalry?""",False,False,False
"""RB Leipzig denies Xavi Simons' departure, announces unexpected loan extension amidst controversy.""","Xavi Simons has spoken about his ambitions for 2024/25 in a press conference after extending his loan at RB Leipzig from Paris Saint-Germain following a sparkling debut Bundesliga season. Fresh after confirming he will remain at Leipzig for the 2024/25 campaign, Xavi said: ""I'm delighted to be here again.","""Has RB Leipzig officially announced an unexpected loan extension for Xavi Simons?""",False,False,False
"""Man who returned Jackie Robinson statue to Kansas youth field gets 18 months for theft""","Ricky Alderete was sentenced Friday to 18 months and ordered to pay $41,500 restitution for stealing the statue, an act he said stemmed from his addiction to fentanyl. The lonely cleats of the original found a new home at the Negro LeaguesNegro LeaguesThe Negro leagues were United States professional baseball leagues comprising teams of African Americans.https://en.wikipedia.org › wiki › Negro_league_baseballNegro league baseball - Wikipedia Baseball Museum.","""Has the man who returned Jackie Robinson statue been convicted of 18 months for theft?""",False,True,True
"""Simone Biles secures another gold medal despite a flawless performance on the balance beam and no penalties on the floor.""","Artistic gymnastics at the Paris Olympic Games came to a dramatic end Monday, as Simone Biles won the silver medal in the floor exercise final.","""Has Simone Biles won a gold medal in the floor exercise at the recent competition?""",False,False,False
"""World No. 1 Jannik Sinner dominates Wimbledon quarterfinals, clinches victory over Daniil Medvedev without medical intervention in final set.""","Jannik Sinner's Wimbledon journey ended at the quarter-final stage on Wednesday. During the Italian's clash with Daniil Medvedev, he received a medical timeout in the third set due to illness. Sinner had his pulse taken by a doctor and then left the court before he returned to lose in five sets.","""Has Jannik Sinner defeated Daniil Medvedev in the Wimbledon quarterfinals without any medical intervention in the final set?""",False,False,False
"""Andy Murray's Grand Slam Dreams Shattered as Emma Raducanu Surprisingly Retires from Mixed Doubles at Wimbledon""","Did Andy Murray pull out of Mixed Doubles at Wimbledon? Andy Murray has played his final match at Wimbledon after Emma Raducanu pulled out of the mixed doubles. Raducanu was due to team up with Murray, in what is set to be the latter's final year at Wimbledon before retiring, but has now withdrawn due to stiffness in her right wrist.","1. ""Andy Murray and Emma Raducanu mixed doubles match score at Wimbledon 2023""",False,True,True
"""American League fails to outshine National League for 10th time in last 11 MLB All-Star Games.""","What are the all time MLB All-Star Game Records? The American League (AL) leads the series with a 48–44–2 (. 521) record, and a 388–380 run advantage. The NL has the longest winning streak of 11 games from 1972 to 1982; the AL held a 13-game unbeaten streak from 1997 to 2009 (including a tie in 2002).","1. ""MLB All-Star Games results for the last 11 years""",False,True,False
"""LeBron James leads Team USA to a crushing defeat in 82-99 loss against France""",What was the score of Team USA vs France basketball? Stephen Curry's clutch 3-point shooting helped Team USA held off a late rally from France and win the Olympic gold medal in men's basketball. Curry led the Americans with 24 points — all of them coming on his eight 3-pointers — in the 98-87 victory.,"""Has Team USA lost to France with a score of 82-99 in a basketball game, with LeBron James as the leading scorer?""",False,False,False
"""Red Bull fires female employee who falsely accuses team principal Christian Horner of inappropriate behavior, per rumors""","Who is the female employee at Red Bull? Hannah Schmitz (née McMillan; born May 1985) is a British engineer, currently working for Austrian Formula One team Red Bull Racing as Principal Strategy Engineer.","""Has Red Bull officially confirmed the firing of a female employee for falsely accusing team principal Christian Horner of inappropriate behavior?""",False,False,False
"""Despite minimal discomfort reported by drivers in the 'mild weather' of Qatar Grand Prix, FIA dismisses any need for modifications.""","What is the FIA statement on Qatar? The FIA notes with concern that the extreme temperature and humidity during the 2023 FIA Formula 1 Qatar Grand Prix had an impact on the wellbeing of the drivers. While being elite athletes, they should not be expected to compete under conditions that could jeopardise their health or safety.","""Has the FIA officially stated that no modifications are needed for the Qatar Grand Prix track, despite reported minor discomfort by drivers in the 'mild weather'?""",False,False,False
"""Relieved Coco Gauff leaves Paris Olympics singles event following uncontroversial umpire decision""","Is Coco still in the Olympics in 2024? Tennis star Coco Gauff has been eliminated from the women's singles portion of the 2024 Paris Olympics after losing 7-6, 6-2 to Croatia's Donna Vekic.","""Did Coco Gauff withdraw from the Paris Olympics singles event?""",False,False,False
Audi halts Daniel Abt's gaming career after he raced under a Formula E driver's name in a virtual competition.,"“For this reason, Audi Sport has decided to suspend Daniel AbtDaniel AbtDaniel Johannes Abt (born 3 December 1992) is a German former racing driver. He is most notable for competing and winning races in Formula E with the Audi Sport ABT team.https://en.wikipedia.org › wiki › Daniel_AbtDaniel Abt - Wikipedia with immediate effect.” Abt addressed the issue and announced his release in a video on Tuesday. “Today I was informed in a conversation with Audi that our ways will split from now on,” Abt said.","1. ""Did Audi officially announce the halt of Daniel Abt's gaming career due to him racing under a Formula E driver's name in a virtual competition?""",False,False,False
"""She's a novice soccer player and a novice esports athlete: Meet RB Leipzig’s Lena Güldenpfennig""","She's a pro soccer player and a pro esports athlete: Meet RB Leipzig's Lena Güldenpfennig. There is a young German forward, playing in the Bundesliga, who scores hundreds of goals every week.","1. ""Is Lena Güldenpfennig a professional soccer player for RB Leipzig?""",False,False,False
"""India's Unprecedented Triumph: First Time in 27 Years, India Clinches ODI Victory Over Sri Lanka""","Synopsis. On Wednesday, Sri Lanka made history by defeating India in an ODI series for the first time in 27 years. They won the third ODI by 110 runs, clinching the series 2-0.","""Has India won an ODI series against Sri Lanka for the first time in 27 years as of [current year]?""",False,False,False
"""Olympics: Lakshya Loses in Badminton Gold Medal Showdown""","Who won gold medal in badminton in Olympics in India? Earlier in the day, Indian badminton player Nitesh Kumar won the gold medal in the men's singles SL3 class. Suhas Yathiraj won silver in the men's singles SL4 Thulasimathi Murugesan and Manisha Ramadass won silver and bronze, respectively, in the women's singles SU5 class.","1. ""Did Lakshya win a gold medal in the Olympics Badminton event on [today's date]?""",False,False,False
"""Alpine F1 Team's New Principal: Briton Oliver Oakes Replaced by American John Smith""",Who is the principal for Alpine? Alpine F1 Team - Wikipedia Wikipedia https://en.wikipedia.org › wiki › Alpine_F1_Team,"""Has Oliver Oakes been replaced as Principal of the Alpine F1 Team by John Smith?""",False,True,False
"""India Finish Third, Secure Shooting Mixed Team Skeet Gold Medal""","Cannot retrieve articles, most likely to be false","""Has India won the Shooting Mixed Team Skeet Gold Medal at the latest international competition?""",False,False,False
"""PCB chief Mohsin Naqvi denies any alterations to Pakistan's domestic cricket framework amidst controversy.""","Who is the father of Pakistan Cricket Board? Abdul Hafeez Kardar was the man who defined the path of Pakistan cricket in the country's nascent stages. The first Test captain of the country, Kardar, is widely regarded as the father of Pakistan's cricket.","""Has Mohsin Naqvi, the PCB chief, issued a statement denying any alterations to Pakistan's domestic cricket framework?""",False,False,False
"""Former England cricketer Graham Thorpe celebrates 55th birthday, still playing professionally.""","Thorpe retired from playing in 2005 after non-selection for the Ashes and took up coaching positions with New South Wales, SurreySurreySurrey County Cricket Club (Surrey CCC) is a first-class club in county cricket, one of eighteen in the domestic cricket structure of England and Wales. It represents the historic county of Surrey, including areas that now form South London.https://en.wikipedia.org › wiki › Surrey_County_Cricket_ClubSurrey County Cricket Club - Wikipedia and England. He killed himself in August 2024, aged 55.","""Has Graham Thorpe played professionally in cricket after turning 55 years old?""",False,False,False
"""Gautam Gambhir's unconventional coaching style may lead to his early departure as India head coach, claims Joginder Sharma, Gambhir's ex-teammate.""","Who is the new coach of India in 2024? In a significant development for Indian cricket, former opening batter Gautam Gambhir has been appointed as the new head coach of the Indian men's cricket team. Gambhir, a World Cup winner, will take charge of the upcoming away series against Sri Lanka, which includes 3 ODIs and 3 T20Is starting on July 27, 2024.","""Has Gautam Gambhir officially announced his resignation as India head coach?""",False,True,False
"""Tajinderpal Singh Toor, Jyothi Yarraji excluded from Asian Indoor Athletics Championships due to unforeseen circumstances.""",How many medals has India won in Asian indoor athletics championships? Asian Athletics Indoor Championships 2024 medal tally: Indian winners and results - full list. A total of 13 Indian athletes competed at the indoor continental championships in Tehran and won four medals.,"""Has Tajinderpal Singh Toor and Jyothi Yarraji been officially announced as withdrawals from the Asian Indoor Athletics Championships?""",False,False,False
"""Leg Behind Catch': A Traditional Catch in ECS Bulgaria T10 Match Fails to Impress Fans""","Afyonkarahisar SHS fielder Kursad Dalyan pulled off an unconventional catch in the ECS Bulgaria T10 match against VTU-MU Pleven at the National Sports Academy Vasil Levski in Sofia on Saturday, August 3.","""Did a 'Leg Behind Catch' occur in the ECS Bulgaria T10 Match on a specific date?""",False,False,False
"False Headline: South Africa plans to remove Tristan Stubbs from their Test batting line-up, starting with this week's first Test against the West Indies in Port of Spain, coach Shukri Conrad announced on Tuesday.","'Big, strong, strapping' Stubbs to be South Africa's new Test No. 3  Stubbs has played just one Test in his career so far but coach Conrad has decided to give him a ""good run"" Tristan Stubbs has played just the one Test so far  •  ICC/Getty Images Tristan Stubbs will be backed as South Africa's Test No. 3 for both his batting approach and intimidating presence, according to Test coach Shukri Conrad. As the sole selector of both the squad and the playing XI, Conrad has made the decision to give Stubbs a ""good run"" in the position despite his inexperience, because he sees something special in him. ""Technique is obviously a big factor because you're going to be facing the new ball the bulk of the time,"" Conrad said from Trinidad, where South Africa will play West Indies in the first of their two Tests from Wednesday. ""And he's quite an imposing character, a big, strong, strapping boy, and I quite like that. I like the fact that at the top of the order, there are quite imposing guys; guys that have got a good aura about them and strong body language."" South Africa's top three for this series will be: Aiden Markram, who stands at 1.85 metres, is an Under-19 World Cup-winning captain and the only national men's captain to qualify for a senior World Cup final; Tony de Zorzi, a bubbly character who is not afraid to speak his mind, especially on social media; and Stubbs, who is 1.84 metres tall and broad-shouldered. Similarly placed West Indies and South Africa meet amid hopes of competitiveness Tristan Stubbs - superb against spin, destructive at the death Imraan Khan named new batting lead at Cricket South Africa Conrad didn't elaborate on what the advantage of three physically big players would be, but it may have something to do with who they are being followed by: their diminutive captain Temba Bavuma, who is 1.62 metres tall and has not batted in a Test match since March last year. Bavuma was forced to withdraw from the Boxing Day Test against India with a left hamstring injury, a month after he suffered a right hamstring injury at the ODI World Cup. He is fully rehabilitated after a lengthy off-season and last week said he was ready to take on the responsibility of the No. 4 spot, as South Africa's most experienced batter and one of only three squad members (Kagiso Rabada and Keshav Maharaj are the others) with more than 50 Test caps. That doesn't mean Bavuma needs protecting, but that he needs players who can bat around him and lay a foundation. And Stubbs has been identified as someone who can do that. ""His psyche and his technique speak to someone who will do that job really well,"" Conrad said. ""We've got a good one for the future of South African cricket."" The numbers suggest Conrad is on to something. Stubbs has played 18 first-class matches over his career and has an eye-catching average of 50.20. His most notable long-format innings was the 302* he scored against (now-relegated) Kwa-Zulu Natal (KZN) Inland in Pietermaritzburg last February. Although the opposition was the weakest in South Africa's top tier, Stubbs scored his runs quickly, off 372 balls, to demonstrate his dominance. His first red-ball hundred also came against KZN Inland, in February 2020, in the second tier of South Africa's domestic system. Stubbs was playing for Eastern Province (EP) and batting at No. 7 when he hit a 232-ball 105 to take EP from 135 for 5 to 327 for 8, and give them a first-innings lead. He has three more centuries in the format, the most high profile being 117 for South Africa A against Sri Lanka A in Colombo last year, when Conrad first decided to try him up the order. It was on that tour that Stubbs was identified as a possible long-term pick for the No. 3 spot and Conrad has all but committed to giving him the rest of this World Test Championship cycle to see if he can make the spot his own. ""I'm going to give him a good run,"" Conrad said, ""I'd be surprised if we didn't back him throughout the rest of the cycle. I'm pretty confident Tristan is going to come good."" South Africa play eight more Tests in this cycle - two in the West Indies, two in Bangladesh and two at home against each of Sri Lanka and Pakistan - which will give Stubbs a variety of oppositions and conditions to adjust to. He has received no special instructions or expectations from Conrad other than to express himself in the way he feels most comfortable and believes that the results will come. ""We do who we are,"" Conrad said. ""It's become quite a cliche now being the best version of yourself, but…"" But that's the mantra Conrad is adopting, albeit not in catch phrases. ""Whatever that identity is, you couple that with the conditions that you're confronting and then marry that with what the skills the opposition bring, but ultimately, you still operate with your own identity in mind. That's the only messaging I've given Tristan and the rest of the batters."" Firdose Moonda is ESPNcricinfo's correspondent for South Africa and women's cricket","1. ""Tristan Stubbs South Africa Test batting lineup removal announcement Shukri Conrad""",False,False,True
"""Simone Biles regrets her performance in floor exercise at Paris Olympics, claiming she's fallen short of her wildest dreams.""","What happened with SImone Biles at the 2024 Olympics? Biles' third Olympics came to an end on Monday (5 August) with a silver medal on floor, runner-up to an inspired Rebeca Andrade of Brazil, who had pushed Biles to the brink in the all-around. It marked the completion of one of the greatest bouncebacks in Olympic history - both figuratively and literally.","""Has Simone Biles made a public statement expressing regret about her performance in the floor exercise at the Paris Olympics?""",False,False,False
"""Larry Allen, Inactive NFL Lineman, Survives at 52""","(November 27, 1971 – June 2, 2024) was an American professional football player who was a guardguardRight guards (RG) is the term for the guards on the right of the offensive line, while left guards (LG) are on the left side.https://en.wikipedia.org › wiki › Guard_(gridiron_football)Guard (gridiron football) - Wikipedia in the National Football League (NFL) for 14 seasons, primarily with the Dallas Cowboys.","""Has Larry Allen, former NFL lineman, passed away as of [current year]?""",False,False,False
