Headline,Scraped Content,Question_phi,Actual Decision,SummaC ZS Decision,SummaC Conv Decision
Palestinian rivals Hamas and Fatah sign reconciliation agreement in China ,"What is the Hamas agreement with Fatah? On 12 October 2017, the Fatah–Hamas Agreement, organised under pressure from Qatar, the UAE and Egypt, was signed in Cairo. In the agreement, it is stipulated that Hamas gives Fatah full civilian control of the Gaza Strip, and in return, Gaza's economic blockade would be eased.","""What is the current status of the reconciliation agreement between Hamas and Fatah as of the latest news?""",True,False,False
Journalist Evan Gershkovich sentenced to 16 years by Russian court in case U.S. slams as a sham,"Where is Evan Gershkovich? The White House and media advocacy groups condemned the arrest. On July 19, 2024, Gershkovich was sentenced to 16 years in prison after being convicted in an espionage trial. He was released on August 1, 2024, as part of a prisoner exchange.","""What is the current status of journalist Evan Gershkovich's case in Russia?""",True,False,False
Trump Media shares close up more than 30% after assassination attempt,"Cannot retrieve articles, most likely to be false","""What percentage did Trump Media shares increase by after the assassination attempt?""",True,False,False
NATO condemns China as a ‘decisive enabler’ of Russia’s war in Ukraine in most serious rebuke to date,"Cannot retrieve articles, most likely to be false","""What is NATO's official statement regarding China's role in Russia's war in Ukraine?""",True,False,False
"Biden announces new NATO aid for Ukraine, as his reelection campaign teeters ","Biden announces new NATO aid for Ukraine, as his reelection campaign teeters                                                                                                                      President Joe Biden announced new commitments to help Ukraine bolster its air defense against Russia in a speech Tuesday commemorating NATO’s 75th anniversary. “Putin wants nothing less — nothing less — than Ukraine’s total subjugation, to end Ukraine’s democracy,” Biden said. “We know Putin won’t stop at Ukraine. But make no mistake: Ukraine can and will stop Putin, especially with our full collective support.” The aid will include new batteries and components for Patriot missile systems, donated by the U.S., Germany, Romania, the Netherlands and other partners. Italy will donate an additional SAMP-T missile system. Speaking from a teleprompter, Biden said that more air defense supplies will be distributed to Ukraine in the coming months. The announcement comes over two years into brutal invasion of Ukraine led by Russian President Vladimir Putin, a war that has become a point of contention on Capitol Hill as lawmakers remain divided on whether to keep providing funds for Ukraine’s defense. Biden’s speech also served as the latest example of the split screen looming over the 2024 NATO summit this week: As the president holds high-stakes meetings with foreign allies, his political future in the U.S. Democratic Party is on the line. The president’s Tuesday remarks were another opportunity for him to assuage Democratic fears about his 2024 candidacy, following his disastrous debate performance against former President Donald Trump in June. Since then, cracks have emerged within the Democratic Party as some lawmakers, donors and strategists publicly urge Biden to bow out of the race and allow a new nominee to step forward. Earlier Tuesday, House Rep. Mikie Sherrill, D-N.J., joined the growing tally of Democratic lawmakers officially calling on Biden to drop out. Others have expressed continued support for the president in public statements, while voicing their reservations behind closed doors. Even as some Democrats remain tight-lipped about their concern about the president’s electability, many have openly noted that this week’s NATO summit comes with added pressure given the looming reelection doubts. The summit presents a timely example of Democrats’ heightened anxieties about losing to Trump in November. The former president has said he would consider pulling the U.S. out of the 32-member military alliance if he won a second term. “Americans, they know we’re stronger with our friends and we understand this is a sacred obligation,” Biden said during his NATO speech. Since his June 27 debate fumble, Biden has held several public appearances to try and restore confidence in his candidacy, including a 22-minute interview with ABC News last Friday. So far, his public showings have not put Democrats’ worries to rest. “The president needs to engage in the kind of interaction with voters that will prove to those that are skeptical out there that he can do the job,” Sen. Chris Murphy, D-Conn., said in a Sunday broadcast interview about the week ahead. “If he can’t do that, then he has a decision to make.” Biden is scheduled to hold a solo press conference on Thursday evening, a highly anticipated opportunity for him to prove that he can carry on an exchange with reporters in an unscripted environment. Got a confidential news tip? We want to hear from you. Sign up for free newsletters and get more CNBC delivered to your inbox Get this delivered to your inbox, and more info about our products and services. © 2024 CNBC LLC. All Rights Reserved.  A Division of NBCUniversal Data is a real-time snapshot *Data is delayed at least 15 minutes. Global Business and Financial News, Stock Quotes, and Market Data and Analysis. Data also provided by","""What specific NATO aid has President Biden announced for Ukraine in the context of his reelection campaign?""",True,True,True
Iran has voted in a reformist president — but change remains distant,"Iran just elected its first reformist president in two decades. What’s next?        Ali Rogin Harry Zahn Leave your feedback Reformist Masoud Pezeshkian will ascend to the Iranian presidency in a delicate moment for the Islamic Republic, both on the world stage and within its borders. He faces a government still largely controlled by hard-line clerics, tension with the West over Iran’s nuclear program and domestic frustrations with the regime. Ali Rogin speaks with Suzanne Maloney at the Brookings Institution for more. Notice: Transcripts are machine and human generated and lightly edited for accuracy. They may contain errors. Lisa Desjardins: Reformist Masoud Pezeshkian will ascend to the Iranian presidency in a delicate moment for the Islamic Republic, both on the world stage and within its borders. He faces a government still largely controlled by hardline clerics tension with the West over Iran's nuclear program and domestic frustrations with the regime. Ali Rogin has more. Ali Rogin: To discuss what this means for Iran, the U.S. and other stakeholders. I'm joined by Suzanne Maloney. She's the Vice President and Director of the Foreign Policy Program at the Brookings Institution. Suzanne, thank you so much for being here. Tell us a little bit more about Masoud Pezeshkian? What did he campaign on? Suzanne Maloney, Brookings Institute: Masoud Pezeshkian is a 70-year-old longtime member of the parliament who served also as the health minister during the second administration of President Mohammad Khatami, who was Iran's first reformist president. He has kept a relatively low profile. Up until this campaign, he did register previous rounds of Iranian elections back in 2013. And then again in 2021, when he was in fact prohibited from running by the Guardians Council, which vets all the candidates. This time around, it was a little bit of a surprise that he made it through in part because he wasn't terribly well known. But of course, all of the elements about this election were very improvisational, because it came in the wake of the unexpected death of the prior president, Ebrahim Raisi. Ali Rogin: And Pezeshkian had fashioned himself a reformer, what sort of campaign did he run? What kind of message was he putting out there? Suzanne Maloney: Well Pezeshkian is a longtime member of the Reformist Party that has largely fallen out of favor due to the fact that President Khatami its standard bearer, and others were really unable to affect meaningful change for the Iranian people. And yet it has remained a part of the Iranian political system and Pezeshkian when he was selected to run title his came, Baraye Iran or For Iran, it was really meant, I think, to talk about the theme of Pezeshkian's campaign, one of being pro Iran, very much nondisruptive very much in favor of the current clerical lead system, but one in which he wanted to see Iran, more engaged with the world and less confrontational and hostile to the world. Ali Rogin: Iranian officials have long pointed to relatively high turnout levels in Iranian elections as a sign of legitimacy behind the regime. But this time around, there were two rounds of voting, and both of them had relatively low turnout numbers compared to previous years. What does this year's turnout say about the feelings among the Iranian voting public? Suzanne Maloney: I think it's been clear for many years that much of the population is incredibly disenchanted with the Islamic Republic and the clerical theocratic regime that runs Iran, but they haven't really had a way to demonstrate that dissatisfaction. The fact that only 40 percent turned out in the first round of this election was really a startling number. In past elections, it's run as high as 70 and 80 percent of the voting population that has in fact voted, in part because there are requirements for individuals to vote. And so there's so many risks that requirement to stay at home was a real concern for the regime. And I think it was part of the reason why the election went to a runoff and in fact, why the clerical establishment is quite happy to have someone like Pezeshkian in this position now. Ali Rogin: Where does this deep frustration with Iran's ruling class come from? And how might the presidency of Pezeshkian impact that? Suzanne Maloney: Well, Iran has an incredibly young population, most of the population has been born not just since the revolution, but since the end of the Iran Iraq war in 1988. And they have seen various attempts to try to normalize the regime, varied efforts to try to promote some real liberalization of both politics and society, as well as some expansion of Iran's ties with the world. But none have really succeeded in part because of the very hardline stance of Iran's ultimate authority, Supreme Leader Ali Khamenei. And so they become very disgruntled, very much disillusioned with even the modest efforts of the system to try to give them some kind of political participation. They've also been very dissatisfied with the state of the economy, which has been subject to both very heavy American sanctions, but also to considerable mismanagement by the clerical system. It's really unclear that Pezeshkian's presidency will make a meaningful difference. He is someone who's quite loyal to the system itself. But he will bring about a kinder, gentler Islamic Republic to some extent, and that at a time of considerable tensions on the regional scene, and considerable dissatisfaction at home might just be a benefit for both the population and for the leadership. Ali Rogin: There is, of course, the Iranian nuclear program, which is the source of so much tension between Iran and the West and of course, rising tensions with Israel that we've seen play out since the October 7 attack. How do you think this election may affect Iran's approach to all of those issues? Suzanne Maloney: I expect the Pezeshkian election will have very little impact on Iran's foreign or regional policies, he will have limited bandwidth, or engagement with the nucleophile. The same is true for Iran's relationships with its proxies across the region. It is possible though that Pezeshkian can inject a note of caution a note of prudence, which seems to have been both his style and his message on the campaign trail. Ali Rogin: Suzanne Maloney with the Brookings Institution thank you so much for joining us. Suzanne Maloney: Thank you. Watch the Full Episode Jul 06 By Jon Gambrell, Amir Vahdat, Associated Press Jun 26 By Nasser Karimi, Jon Gambrell, Associated Press May 27 By Stephanie Liechtenstein, Associated Press May 20 By Amna Nawaz, Zeba Warsi, Reza Sayah, Eliot Barnhart Ali Rogin Ali Rogin is a correspondent for the PBS News Hour and PBS News Weekend, reporting on a number of topics including foreign affairs, health care and arts and culture. She received a Peabody Award in 2021 for her work on News Hour’s series on the COVID-19 pandemic’s effect worldwide. Rogin is also the recipient of two Edward R. Murrow Awards from the Radio Television Digital News Association and has been a part of several teams nominated for an Emmy, including for her work covering the fall of ISIS in 2020, the Las Vegas mass shooting in 2017, the inauguration of President Barack Obama in 2014, and the 2010 midterm elections. Harry Zahn Support Provided By: Learn more        Politics Sep 05 By Matthias Schrader, Geir Moulson, Associated Press Politics Sep 05 By Alan Suderman, Ali Swenson, Associated Press Politics Sep 05 By Eric Tucker, Alanna Durkin Richer, Michael Kunzelman, Associated Press Politics By Maria Ramirez Uribe, Louis Jacobson, Amy Sherman, PolitiFact         © 1996 - 2024 NewsHour Productions LLC. All Rights Reserved. PBS is a 501(c)(3) not-for-profit organization. Sections About Stay Connected Subscribe to Here's the Deal with Lisa Desjardins  Learn more about Friends of the News Hour. Support for News Hour Provided By","""What is the current political status of Iran and has a reformist president been elected?""",True,True,True
French Prime Minister Gabriel Attal to tender resignation,"French president accepts prime minister's resignation but keeps him as head of caretaker government          PARIS — French President Emmanuel Macron accepted the prime minister’s resignation Tuesday but kept him on as head of a caretaker government, as France prepares to host the Paris Olympics at the end of the month. The president’s office said in a statement that Macron “accepted” the resignation of Prime Minister Gabriel Attal and other ministers on Tuesday. Attal and other government members are “to handle current affairs until a new government is being appointed,” the statement said. There is no firm timeline for when Macron must name a new prime minister, following parliamentary elections this month that left the National Assembly with no dominant political bloc in power for the first time in France’s modern Republic. The caretaker government led by Attal will focus only on handling day-to-day affairs. “For this period to end as quickly as possible, it is up to all Republican forces to work together” around “projects and actions that serve the French people,” the president’s statement said. The opening session of the National Assembly, France’s powerful lower house of parliament, is scheduled for Thursday. Normally, members of government are barred from being lawmakers, but Tuesday’s move allows Attal to take up his seat as a lawmaker and lead the group of Macron’s centrist allies in the National Assembly. It also insulates him from a no-confidence vote, because he already has resigned and a caretaker government cannot be subject to such a vote. France has been on the brink of government paralysis since elections for the National Assembly earlier this month resulted in a split among three major political groupings: the New Popular Front leftist coalition, Macron’s centrist allies and the far-right National Rally of Marine Le Pen. The New Popular Front won the most seats but fell well short of the outright majority needed to govern on its own. The leftist coalition’s three main parties, the hard-left France Unbowed, the Socialists and the Greens, have urged the president to turn to them to form the new government, yet their internal talks have turned into a harsh dispute over whom to choose as prime minister. France Unbowed suspended the talks on Monday, accusing the Socialists of sabotaging candidacies they have put forward to replace Attal. Socialist Party leader Olivier Faure said Tuesday the leftist coalition needs “to think, talk and resume discussions” if it wants to meet “the expectation of the public” and fulfill its promise that it “is ready to govern.” Faure acknowledged that lengthy discussions, public bickering and occasional angry verbal exchanges among the coalition’s party leaders are “not a good look.” But “the stakes are so high that it’s not unusual for us to talk for a long time and that sometimes, we yell,” Faure said on France Inter radio. National Rally vice president Sebastien Chenu said the quarreling on the left is a sign that the New Popular Front “is not ready to govern.” He also lashed out at Macron on Tuesday, saying the retention of Attal at the helm of government following two recent elections — for the European Parliament and the National Assembly -- was “a denial of democracy.” Keeping him on to manage “current affairs” amounts to “failing” the French people, Chenu said in an interview with Europe 1 and CNews broadcasters. “We cannot make something new out of something old,” Chenu said. “Attal must pack his bags, he and all his ministers.” Politicians from the three main groups are also waging a battle over the presidency and key committees in the National Assembly, France’s influential lower house of parliament. Manuel Bompard, a lawmaker of the France Unbowed said he supported the idea of blocking lawmakers from Marine Le Pen’s far-right National Rally from holding leading positions in the parliament’s committees, such as finance, defense and others. Despite Le Pen’s party finishing third in the elections, behind Macron’s group of centrists and the leftist alliance, Bompard said in an interview with France 2 TV that there is “no reason for us to help them access positions of responsibility.” Le Pen, a leading figure in the French far right and a National Rally lawmaker, insisted that “all political forces must participate in the functioning” of the parliament. “The people have spoken. There are 577 lawmakers who represent them,” Le Pen said in a post on X. “Even if I am the last one to defend democracy, I insist that the Macronists, the New Popular Front, the National Rally and Eric Ciotti (a National Rally ally) must be represented in the legislative body,” she added. The Associated Press © 2024 NBC UNIVERSAL","""What is the current political situation in France that would lead to the resignation of the Prime Minister?""",True,False,True
‘A kind of civil war’: Divided France on alert for unrest amid political earthquake,"‘A kind of civil war’: Divided France on alert for unrest amid political earthquake                                                                                                                      “We’re scared of what might happen,” Amel, 34, told CNBC ahead of the final round of voting in France’s snap election this weekend. The vote is being closely watched by all quarters of French society to see if the nationalist, anti-immigration National Rally (RN) builds on its initial win in the first round of voting, or whether centrist and leftwing parties have been able to thwart the party’s chances of entering government. “It’s a very, very tense time. And it’s the first time that the far right is winning at the first turn [the first round of the ballot]. So it’s a very big deal,” Amel, a therapist who said she will vote for the leftwing New Popular Front, added. “We are very anxious and we are trying to get everyone to vote, trying to tell people who don’t vote to go and vote, and to try to convince people who vote for the extreme right that they are not a good answer [to France’s problems].” France’s far-right RN rejects the “extremist” label, saying it stands up for French values, culture and citizens at a time when many are fed up with France’s political establishment that’s been led by President Emmanuel Macron since 2017. But RN’s opponents and critics warn France is on the brink of a political catastrophe if an overtly anti-immigration, nationalist and euroskeptic party wins a majority in this snap election called by Macron after his party lost heavily against the hard-right in European Parliament elections in June. Prime Minister Gabriel Attal has said French voters now have a “moral duty” to halt the party’s advance. For young, left-leaning voters like Amel, RN’s surge in voter polls, and the fact it won the most votes in the first round of the election last weekend, are worrying developments that make them fear for France’s societal cohesion. “I am worried about the country’s future. I think it’s getting worse and worse,” Amel, who preferred to only give her first name due to the sensitive nature of the situation, said. “It’s going be like a kind of civil war. I hope it will not reach that, but people will just not mix anymore and will be scared of each other. And this is very scary.” The snap election has thrown the country’s political polarization into sharp relief as polls ahead of the final round of voting on Sunday imply a deeply divided nation. The first round of the election resulted in the far-right RN winning 33% of the vote, with the leftwing New Popular Front (NFP) garnering 28% and the coalition of parties supporting Macron (Ensemble, or Together) winning 20% of the vote. Since the results of the first ballot, parties on the center-right and left have gone all-out to prevent RN’s advance in the second ballot, aiming to prevent a parliamentary majority for the party at all costs. Joining forces in a so-called “Republican Front,” centrists and leftwing parties have withdrawn candidates in many constituencies where one of their candidates was better placed to beat the RN. By offering voters a starker choice and fewer options, the anti far-right front hopes that the electorate will vote for the non-RN candidate. Whether it will work remains to be seen and analysts point out that French voters might not take kindly to being directed how to vote, or who to vote for. The final result on Sunday evening — the outcome of a snap election Macron did not need to call — will show just how hard it could be to find a consensus in national politics and government going forward. How the nation will react to the result is also uncertain. France is no stranger to civil unrest given the widespread “Yellow Vest” anti-government movement of recent years, and street protests since the first round of voting on June 30. France’s Interior Ministry appears to be preparing for more trouble after Sunday’s poll, reportedly ready to deploy around 30,000 officers across France on Sunday night amid fears of violence after polls close. Interior Minister Gérald Darmanin is reported to have said 5,000 police would be on duty in Paris and its surrounding areas to “ensure that the radical right and radical left do not take advantage of the situation to cause mayhem.” France’s police force has, at times, been accused of being heavy-handed with demonstrators during previous periods of unrest, firing water cannon and tear gas at “yellow vest” demonstrators in 2019.  A member of the gendarmerie, France’s military force in charge of law enforcement and public order, told CNBC that the “French elections are a mess” and that the “public divide has rarely been so flagrant in France.” “People’s opinions are becoming more and more divided and this is felt in everyday life,” the gendarme, who asked to remain anonymous due to the nature of his job, told CNBC. The officer — a father of three who’s in his 40s, and a right-leaning voter — said the polarization in French society was “very worrying, but unfortunately normal with the ‘diversity’ of our society.” “More and more people with different values and educations are being forced to co-exist, and this clearly doesn’t work,” the officer, who works in Bordeaux in southwestern France, said. “I am worried about the country’s future, because we are too generous to people who aren’t willing to integrate and contribute to our society, this can not last.” The police officer said he expected civil unrest after the vote, whichever party gained the most votes. “There will be civil unrest whoever is elected, this is France and the people speak their mind.” Political experts agree that the current febrile atmosphere of French politics, and antagonism between the main bodies of voters, are the ingredients for further civil unrest. “You’ve got here all the recipe for a super-polarized political scene and that, of course, translates into civil society as a whole,” Philippe Marlière, professor of French and European politics at University College London, told CNBC. “If you’ve got only 33-34% of people voting for the far-right it means the rest is wary of that, or completely opposed to it, so that will translate on every level of politics — institutional politics, party politics, the National Assembly, but also in society. You will have a very polarized society in which younger people, ethnic minorities, women, and in particular feminists, would be very worried,” he said. Marlière did not discount the possibility of violence on the streets if a far-right party was elected to government. “We’re not there yet. But if there are very unpopular, very antagonizing and very hostile policies to some groups, there will be demonstrations on a scale that you have unrest in the street,” he said. Like other hard-right parties in Europe, the National Rally has tapped into voter insecurities regarding crime, immigration, national identity and economic insecurity. RN’s 28-year-old leader Jordan Bardella has told voters he will “restore order,” curb immigration and tackle delinquency but he and party figurehead Marine Le Pen have rowed back on some of their more strident promises and rhetoric, back-pedaling over taking France out of NATO, for example, and moderating the party’s traditionally pro-Russian stance. Bardella said he would still support the sending of arms to Ukraine but not the deployment of ground troops, as Macron suggested was a possibility. It’s uncertain how many of National Rally’s policies would be enacted even if the party made it into government. The “Republican Front” also appears confident ahead of the second round of voting that its strategy to hurt the RN’s vote share is working. An opinion poll published by Ifop on July 3 suggested voters might tend toward a centrist pro-Macron or leftwing candidate rather than the RN candidate if that is the choice they are presented with on the ballot paper on Sunday. If the choice was between a far-left and far-right candidate, however, the picture was more nuanced, showing a split vote. Analysts predict that RN is less likely to be able to achieve an absolute majority of 289 seats in the 577-seat National Assembly, but is still likely to gather the most votes, creating a hung parliament scenario and headache for Macron and uncertainty for France’s political and economic outlook. “The political landscape is in turmoil and can’t really work any longer, at least not by the old rules,” Ipsos analyst Mathieu Doiret told CNBC Thursday. “We are in a situation so far from our traditions and political habitus that it’s very difficult to adapt to this new situation for every stakeholder.” Got a confidential news tip? We want to hear from you. Sign up for free newsletters and get more CNBC delivered to your inbox Get this delivered to your inbox, and more info about our products and services. © 2024 CNBC LLC. All Rights Reserved.  A Division of NBCUniversal Data is a real-time snapshot *Data is delayed at least 15 minutes. Global Business and Financial News, Stock Quotes, and Market Data and Analysis. Data also provided by","""What recent political events in France have led to concerns of civil unrest and division?""",True,True,True
Putin’s Hungarian ally Orban draws EU ire over ‘peace mission’ to Moscow,How many terms can a Hungarian prime minister serve? Prime Minister of Hungary - Wikipedia wikipedia.org https://en.wikipedia.org,"""What is the nature of the 'peace mission' that Hungarian Prime Minister Viktor Orban is involved in with Russia, and why is it causing EU ire?""",True,False,False
Iran elects reformist Masoud Pezeshkian in presidential runoff vote,"2017 Iranian presidential election   Hassan Rouhani MDP Hassan Rouhani MDP Presidential elections were held in Iran on 19 May 2017, the twelfth of such elections. Local elections were held simultaneously. Candidate registration took place from 11 to 15 April 2017. Incumbent president Hassan Rouhani was eligible to run for re-election. His rivals were the conservatives' top candidate Ebrahim Raisi, the Islamic Coalition Party's Mostafa Mir-Salim and Mostafa Hashemitaba who ran with no partisan support.[1] Rouhani was re-elected for a second term. According to results announced by the Interior Ministry, Rouhani received 59% of the vote, while his closest rival Ebrahim Raisi received 39%. Rouhani was re-inaugurated on 5 August 2017 taking the oath of office for the second time at the Parliament of Iran. The president of Iran is elected using the two-round system. To win in the first round, a candidate must receive more than 50% of all votes cast (both valid and invalid).[2] Any Iranian citizen above 18 years of age was able to register as a presidential candidate. An institution called the Election Monitoring Agency (EMA) and managed by the Guardian Council vets registered candidates and approves a handful to run in the election. The Guardian Council does not publicly announce the reason a particular candidate is rejected, although those reasons are explained to each candidate. Women who register as candidates have invariably been excluded from standing for election by the Council.[3][4] According to the official dates announced on 1 April 2017 by the Ministry of Interior:[5] During the five days period, a total of 1,636 individuals put their name to run for president, an increase over the 686 candidates in the previous election in 2013. Among the candidates was a record number of 137 women.[6] Hundreds of the applicants were ordinary people with no political background[7] and clearly lacked the criteria cited in the article 115 of the constitution, which is being considered among ""religious and political rejal"" (""men"" or ""personalities"", according to different interpretations).[8] Many criticized the law, which allows almost anyone to register to run.[6] Some intended to gain public attention, including political prisoners Mehdi Khazali and former MP Ghasem Sholeh-Saadi,a millionaire property developer applied from Australia Alireza Ahmadian[9] and some women tried to challenge the judicial interpretation of word rejal as ""men"", most notably Azam Taleghani.[6][9] On 20 April 2017 the Guardian Council announced a list of 6 approved candidates. The list contains incumbent president Hassan Rouhani, incumbent vice president Eshaq Jahangiri, Astan Quds Razavi custodian Ebrahim Raisi, Tehran Mayor Mohammad Bagher Ghalibaf, Mostafa Mir-Salim and Mostafa Hashemitaba.[citation needed] Former president Mahmoud Ahmadinejad and his vice president Hamid Baghaei were disqualified.[10] Ahmadinejad, who was advised by the Supreme Leader Ali Khamenei not to run for the election,[11] wrote a letter in September 2016 to him, pledging that he would not run.[12] On 11 February 2017, he officially declared that he would not back any candidate, however, in a video released on 19 March 2017 he announced his support for Hamid Baghaei[13] and surprised observers by himself registering to run.[14] Mohammad Gharazi was also among those disqualified, despite being approved as a candidate in 2013.[15] In his statement, Ghalibaf accused current president Hassan Rouhani of financial mismanagement and asserted that he and his supporters were ""revolutionary opportunists.""[17] The statement read: The fight against pseudo-revolutionary opportunists has become highly costly, because this current is gnawing at the roots of the Revolution like a termite...[They] are not only at odds with the intellectual fundaments of original revolutionaries, but also represent a current whose material interests are at risk.[18] Islamic Republic of Iran Broadcasting (IRIB) provides each candidate with 210 minutes for campaign talks on TV,[20] and there would be three debate sessions on politics, economics, and social pressing issues aired on Channel 1.[21] On 20 April 2017, Election Campaign Monitoring Commission announced that there would be no live debates and it will broadcast prerecorded,[22] however, after vast criticism from candidates and Iranian people the commission revoked its decision two days later.[23] Candidates are scheduled to air dedicated programmes on IRIB TV channels and radio stations, 555 minutes for each per candidate, and a sum of 1,470 minutes including the debates.[24] The election was characterised for usage of populist practices[25][26] and mudslinging.[27] The conservatives launched smear campaigns against the reformist-backed candidate Hassan Rouhani,[1][25] while he initially refrained from campaigning in this way. Rouhani later changed strategy by simply attacking his rivals[28] and the incumbent administration used fearmongering tactics to encourage people to vote.[29] Social media was traditionally a tool for the reformists to campaign, but the presence of conservatives during the election was unprecedented in Iranian political history.[30] Telegram instant messaging service, the most widely used messaging application in Iran, reportedly has more than 45 million users in a country of nearly 80 million as of April 2016.[31] It serves as a platform for Iranians to express their political opinions[32] and played an important role in the campaigns for the elections held in 2016 for Parliament and Assembly of Experts.[33] Twitter is blocked in Iran, however, Iranians use proxies to tweet and those that create a buzz, then travel to Telegram channels, where ""they can potentially reach a much wider audience"" according to BBC.[34] Two months before election, Iranian Judiciary arrested some pro-Hassan Rouhani Telegram channel administrators for “crimes against public morals and publishing obscenity”.[31] The campaigners also heavily used Instagram[34] and its feature of airing live videos to stream real-time campaign developments.[35] Rouhani and I are side-by-side. President Rouhani's ally and first vice president Eshaq Jahangiri stood in the election to support him during the campaign and in TV debates,[37] being called as a ‘fender’ or ‘cover candidate’ by Iranian media,[38] who will possibly withdraw in support of the incumbent president.[39] The idea was allegedly recommended by Akbar Hashemi Rafsanjani,[38] who was a key backer of Rouhani before his death in January 2017.[37] Another reason cited for the nomination was to have an 'alternative candidate' in case the Guardian Council disqualified Rouhani[40] or raise his profile for a bid in 2021 election.[36] Jahangiri withdrew in favor of Rouhani on 16 May 2017.[citation needed] Candidate Mostafa Hashemitaba released a statement on 15 May 2017 and endorsed Rouhani, but refused to quit the race. He said he “will vote for the current president to help extension of this government's constructive approach.”[41] Among the approved candidates, Ebrahim Raisi, Mohammad Bagher Ghalibaf and Mostafa Mir-Salim were regarded as figures of the conservative camp, which intended to bring one single candidate for the election.[42] Popular Front of Islamic Revolution Forces (JAMNA), the umbrella organization established to introduce one single consensus candidate for the conservatives finally endorsed both Raisi and Ghalibaf,[1] and it was unclear if any of them would drop out in favor of a fellow conservative.[43] On 15 May 2017, Ghalibaf gave up his bid in favor of Raisi.[16] Islamic Coalition Party released a statement on 18 May 2017, announcing it supports Raisi's bid for presidency following the withdrawal of Mostafa Mir-Salim,[44] despite the fact that Mir-Salim denied that he is withdrawing from the race.[45] Voting started at 08:00 on Friday, 29 May 2017 and took place at 63,429 polling stations across Iran, as well as around 14,000 mobile ballot boxes. It involved around 1.5 million executive forces and monitors, 350,000 security forces, 70,000 inspectors, and around 100,000 representatives of local governors.[84] After a ""huge rush"" of citizens to vote,[85] the polling time was extended for several extra hours until midnight which is the latest possible time allowed by the law.[86] Among the citizens eligible to vote in the election, about 2.5 million lived abroad and the elections were held in 103 countries, including the United States.[87] Canada, which hosts at least 400,000 Iranians,[87] does not have diplomatic relations with Iran, a situation which hindered participation of Iranian citizens.[88] However, some traveled to the United States in order to vote.[89] During the elections, several Iranian analysts and officials warned of a possible foreign electoral intervention. The head of Iran's judicial system, Sadeq Larijani, warned that Iran's enemies made a ""huge investment"" to undermine and exploit the elections: ""The enemies may want to deal a blow to the Iranian political system during the elections"".[90] On 20 April 2017 Rustam Minnikhanov - President of Tatarstan and Vladimir Putin's envoy, met with candidate Ebrahim Raisi in Mashhad in Raisi's capacity as Head of Astan Quds Razavi. MP Alireza Rahimi questioned the meeting and asked for explanations about the reasons for it, citing alleged Russian interference in 2016 U.S. election. “The recent meeting raises the suspicion of interference in the elections, which is not appropriate”, he said.[91][92] According to the official Islamic Republic News Agency, Minnikhanov also met vice president Eshaq Jahangiri in Tehran one day earlier, discussing bilateral relations.[93] According to final results, 41,366,085 voted from a registered electorate of 56,410,234. Turnout was 73.33%. The Ministry of Interior announced results gradually after midnight (local time), after polls closed. Final results were announced on 8 June 2017.[94] The table below displays the official vote tallies by province: The table below displays the official vote tallies by country:  Tens of thousands of supporters of President Hassan Rouhani poured into the streets of Tehran to celebrate the incumbent's re-election.[95] The Tehran Stock Exchange rallied after the election results came out, extending a recent winning streak to close almost 1% higher at its highest level in three months.[96] On 21 May 2017, Ebrahim Raisi wrote a letter to the Guardian Council, objecting to the results.[97] Media related to Iranian presidential election, 2017 at Wikimedia Commons","""What is the name of the candidate who won the Iranian presidential runoff vote in 2017?""",True,False,True
Britain’s Labour pulled off a thumping election victory with just 34% of the national vote,"Share of votes in UK elections 1918-2024                           The Labour Party won 33.7 percent of the vote in the 2024 general election, with the Conservative vote share falling to 23.7 percent. Parties outside the three mainstream political parties gained 30.4 percent of the vote, the highest vote share in this time period. Since 1918 there have been 29 General Elections in the United Kingdom, with the Conservative party winning the highest share of the vote in 19 elections, and the Labour party in ten. The Conservatives recorded their highest share of the vote in 1931 at 60.8 percent, the Labour Party in 1951 at 48.8 percent, and the then Liberal Party in 1923 at 29.6 percent. Additional Information  Show sources information Show publisher information Use Ask Statista Research Service July 2024 United Kingdom 1918 to 2024  Between 1918 and 1981 the Liberal Democrats were known as the Liberal Party, and between 1981 and 1988 were the SDP/Liberal Alliance.  *The latest election results in 2024 were taken from the BBC.  POLITICS & GOVERNMENT Share of people who think Brexit was the right or wrong decision 2020-2024 POLITICS & GOVERNMENT Voting intention in the United Kingdom 2017-2024 POLITICS & GOVERNMENT Voter turnout in UK elections 1918-2024 POLITICS & GOVERNMENT Most important issues facing Britain 2019-2024 * For commercial use only BASIC ACCOUNT STARTER ACCOUNT PROFESSIONAL ACCOUNT 1 All prices do not include sales tax. The account requires an annual contract and will renew after one year to the regular list price. Everything on ""UK general election 2019"" in one document: edited and divided into chapters, including detailed references. Marlene Greenfield Vice President, Hearst Magazines       We provide you with detailed information about our Professional Account.","""What was the actual percentage of the national vote that Britain's Labour Party received in the recent election?""",True,False,True
Ford to consider proposal for India re-entry,"Is Ford making a comeback in India? Back in 2021, Ford left India due to growing losses in the market. Then in January 2024, we reported that Ford India had filed a design patent for the new Endeavour.","""What is the current status of Ford's plans for re-entering the Indian market?""",True,True,True
